"no","i","region_JP","region_EN","prec_no","block_no","latitude","longitude","altitude","data_type"
76,11,"石狩","ishikari",14,"1085",43.1933333333333,141.37,5,"a"
77,12,"浜益","hamamasu",14,"1193",43.5816666666667,141.386666666667,3,"a"
78,13,"厚田","atsuta",14,"1194",43.3966666666667,141.436666666667,5,"a"
79,14,"千歳","chitose",14,"1459",42.775,141.691666666667,22,"a"
80,15,"江別","ebetsu",14,"1507",43.11,141.601666666667,8,"a"
81,1,"石狩沼田","ishikarinumata",15,"0038",43.815,141.926666666667,63,"a"
82,2,"深川","fukagawa",15,"0039",43.7183333333333,142.073333333333,55,"a"
83,3,"常盤山","tokiwayama",15,"0040",43.76,142.201666666667,560,"a"
84,4,"滝川","takikawa",15,"0041",43.57,141.938333333333,50,"a"
85,5,"神威岳","kamoigaku",15,"0042",43.5183333333333,142.005,455,"a"
86,6,"芦別","ashibetsu",15,"0043",43.52,142.19,91,"a"
87,7,"美唄","bibai",15,"0044",43.3633333333333,141.826666666667,16,"a"
88,8,"岩見沢","iwamizawa",15,"47413",43.2116666666667,141.785,42.3,"s"
89,9,"下桂沢","shitakatsurasawa",15,"0046",43.2566666666667,141.968333333333,265,"a"
90,10,"長沼","naganuma",15,"0047",43.0116666666667,141.693333333333,13,"a"
91,11,"丁未山","hinotohitsujiyama",15,"0048",43.0816666666667,141.956666666667,663,"a"
92,12,"夕張","yuubari",15,"0049",43.0383333333333,141.956666666667,293,"a"
93,13,"登川山","toukawayama",15,"0050",42.9233333333333,142.095,365,"a"
94,14,"月形","tsukigata",15,"0999",43.33,141.616666666667,50,"a"
95,15,"栗沢","kurisawa",15,"1068",43.1216666666667,141.745,20,"a"
96,16,"晩生内","bannamanai",15,"1270",43.405,141.75,140,"a"
97,17,"桜山","sakurayama",15,"1271",43.6816666666667,141.85,230,"a"
98,18,"空知吉野","sorachiyoshino",15,"1287",43.595,141.731666666667,100,"a"
99,19,"浦臼","urausu",15,"1400",43.4283333333333,141.808333333333,25,"a"
100,20,"鹿島","kashima",15,"1401",43.08,142.1,310,"a"
101,21,"沼の沢","numanosawa",15,"1402",42.96,142.02,161,"a"
102,22,"新城","shinjou",15,"1419",43.6116666666667,142.203333333333,147,"a"
103,23,"赤平","akabira",15,"1566",43.5533333333333,142.066666666667,120,"a"
104,24,"雨竜","uryuu",15,"1567",43.66,141.891666666667,42,"a"
105,1,"美国","bikuni",16,"0051",43.2716666666667,140.563333333333,75,"a"
106,2,"余市","yoichi",16,"0052",43.1816666666667,140.758333333333,20,"a"
107,3,"小樽","otaru",16,"47411",43.1816666666667,141.015,24.9,"s"
108,4,"共和","kyouwa",16,"0054",42.98,140.603333333333,15,"a"
109,5,"蘭越","ranetsu",16,"0055",42.81,140.541666666667,39,"a"
110,6,"倶知安","kutchan",16,"47433",42.9,140.756666666667,176.1,"s"
111,7,"脇方台地","wakihoudaichi",16,"0057",42.8766666666667,140.945,525,"a"
112,8,"寿都","hisashimiyako",16,"47421",42.795,140.223333333333,33.4,"s"
113,9,"桂台","katsuradai",16,"0059",42.7516666666667,140.618333333333,333,"a"
114,10,"喜茂別","kimobetsu",16,"0060",42.7933333333333,140.948333333333,264,"a"
115,11,"黒松内","kuromatsunai",16,"0061",42.6633333333333,140.31,27,"a"
116,12,"真狩","makkari",16,"1072",42.775,140.88,440,"a"
117,13,"赤井川","akaikawa",16,"1091",43.0833333333333,140.82,148,"a"
118,14,"神恵内","kamimeguminai",16,"1208",43.145,140.423333333333,50,"a"
119,15,"ニセコ","niseko",16,"1615",42.7783333333333,140.666666666667,113,"a"
120,1,"雄武","oumu",17,"47405",44.58,142.963333333333,14.1,"s"
121,2,"興部","okoppe",17,"0063",44.47,143.108333333333,8,"a"
122,3,"紋別","monbetsu",17,"47435",44.345,143.355,15.8,"s"
123,4,"湧別","yuubetsu",17,"0065",44.2133333333333,143.618333333333,5,"a"
124,5,"滝上","takiue",17,"0066",44.1766666666667,143.061666666667,165,"a"
125,6,"上藻別","uemobetsu",17,"0067",44.1883333333333,143.336666666667,85,"a"
126,7,"常呂","tsunero",17,"0068",44.115,144.036666666667,3,"a"
127,8,"遠軽","enkaru",17,"0069",44.0533333333333,143.54,80,"a"
128,9,"佐呂間","sarokan",17,"0070",44.0183333333333,143.76,54,"a"
129,10,"網走","abashiri",17,"47409",44.0166666666667,144.278333333333,37.6,"s"
130,11,"生田原","ikutahara",17,"0072",43.9166666666667,143.531666666667,199,"a"
131,12,"仁頃山","hitoshigoroyama",17,"0073",43.86,143.746666666667,261,"a"
132,13,"北見","kitami",17,"0074",43.7766666666667,143.841666666667,104,"a"
133,14,"小清水","shoushimizu",17,"0075",43.8416666666667,144.485,52,"a"
134,15,"斜里","shari",17,"0076",43.885,144.7,15,"a"
135,16,"留辺蘂","ryuuhenzui",17,"0077",43.7416666666667,143.45,325,"a"
136,17,"留辺蘂山","ryuuhenzuiyama",17,"0078",43.7583333333333,143.603333333333,470,"a"
137,18,"美幌","bihoro",17,"0079",43.77,144.171666666667,60,"a"
138,19,"藻琴山","mokonyama",17,"0080",43.7266666666667,144.296666666667,518,"a"
139,20,"チミケップ山","chimikeppuyama",17,"0081",43.645,143.89,600,"a"
140,21,"津別","tsubetsu",17,"0082",43.7016666666667,144.033333333333,100,"a"
141,22,"北見中山","kitaminakayama",17,"0083",43.5983333333333,143.46,905,"a"
142,23,"宇登呂","utoro",17,"0981",44.0516666666667,144.981666666667,144,"a"
143,24,"西興部","nishiokoppe",17,"1073",44.3316666666667,142.935,120,"a"
144,25,"白滝","shirotaki",17,"1092",43.865,143.153333333333,475,"a"
145,26,"境野","sakaino",17,"1209",43.7066666666667,143.643333333333,184,"a"
146,27,"東藻琴","higashimokon",17,"1263",43.84,144.285,58,"a"
147,28,"丸瀬布","maruseppu",17,"1420",43.9516666666667,143.328333333333,242,"a"
148,29,"女満別","onnamanbetsu",17,"1460",43.88,144.163333333333,33,"a"
149,30,"紋別小向","monbetsukomukai",17,"1487",44.3033333333333,143.403333333333,18,"a"
150,31,"津別二又","tsubetsufutamata",17,"1568",43.5833333333333,143.865,221,"a"
151,32,"置戸常元","chikotsunemoto",17,"1569",43.62,143.44,368,"a"
152,33,"山園","yamasono",17,"1617",43.7433333333333,144.336666666667,361,"a"
153,1,"羅臼","rausu",18,"0084",44.0233333333333,145.186666666667,15,"a"
154,2,"標津","shibetsu",18,"0085",43.6616666666667,145.131666666667,3,"a"
155,3,"中標津","nakashibetsu",18,"0086",43.5433333333333,144.978333333333,50,"a"
156,4,"計根別","keinebetsu",18,"0087",43.485,144.808333333333,110,"a"
157,5,"別海","betsuumi",18,"0088",43.3816666666667,145.118333333333,23,"a"
158,6,"根室","nemuro",18,"47420",43.33,145.585,25.2,"s"
159,7,"納沙布","nosappu",18,"1056",43.3933333333333,145.758333333333,12,"a"
160,8,"厚床","atsushitoko",18,"1196",43.2216666666667,145.226666666667,41,"a"
161,9,"糸櫛別","itokushibetsu",18,"1266",43.7216666666667,144.988333333333,115,"a"
162,10,"根室中標津","nemuronakashibetsu",18,"1489",43.5766666666667,144.96,65,"a"
163,11,"上標津","ueshibetsu",18,"1547",43.52,144.746666666667,181,"a"
164,1,"川湯","kawayu",19,"0090",43.6166666666667,144.456666666667,158,"a"
165,2,"阿寒湖畔","akankohan",19,"0091",43.4366666666667,144.085,450,"a"
166,3,"弟子屈","teshikaga",19,"0092",43.4783333333333,144.446666666667,107,"a"
167,4,"標茶","shirubecha",19,"0093",43.2916666666667,144.586666666667,20,"a"
168,5,"幌呂台地","hororodaichi",19,"0094",43.2783333333333,144.226666666667,225,"a"
169,6,"中徹別","nakatoorubetsu",19,"0095",43.1983333333333,144.141666666667,80,"a"
170,7,"阿寒","akan",19,"0096",43.1133333333333,144.123333333333,40,"a"
171,8,"霧多布","kiritappu",19,"0097",43.0766666666667,145.128333333333,2,"a"
172,9,"白糠","shiranuka",19,"0098",42.97,144.061666666667,9,"a"
173,10,"釧路","kushiro",19,"47418",42.985,144.376666666667,4.5,"s"
174,11,"二俣","nimata",19,"1107",42.9716666666667,143.875,45,"a"
175,12,"鶴居","tsurukyo",19,"1186",43.2316666666667,144.325,38,"a"
176,13,"弟子屈","teshikaga",19,"1187",43.51,144.466666666667,170,"a"
177,14,"太田","oota",19,"1192",43.09,144.778333333333,85,"a"
178,15,"榊町","sakakimachi",19,"1195",43.12,145.11,2,"a"
179,16,"知方学","chihougaku",19,"1283",42.9383333333333,144.735,149,"a"
180,17,"塘路","toumichi",19,"1403",43.1483333333333,144.496666666667,25,"a"
181,18,"茶内原野","chanaigenya",19,"1417",43.1733333333333,144.966666666667,70,"a"
182,19,"鶴丘","tsuruoka",19,"1461",43.04,144.191666666667,95,"a"
183,1,"軍艦山","gunkanyama",20,"0100",43.4783333333333,143.126666666667,900,"a"
184,2,"陸別","rikubetsu",20,"0101",43.4683333333333,143.738333333333,207,"a"
185,3,"殖産高地","shokusankouchi",20,"0102",43.435,143.695,419,"a"
186,4,"ぬかびら源泉郷","nukabiragensensato",20,"0103",43.3666666666667,143.191666666667,540,"a"
187,5,"小坂山","kosakayama",20,"0104",43.3966666666667,143.483333333333,740,"a"
188,6,"上足寄","ueashoro",20,"0105",43.3566666666667,143.801666666667,384,"a"
189,7,"西ヌプカウシ山","nishinupukaushiyama",20,"0106",43.2416666666667,143.07,760,"a"
190,8,"上士幌","uesamuraihoro",20,"0107",43.235,143.303333333333,295,"a"
191,9,"幌安山","horoanyama",20,"0108",43.2483333333333,143.445,440,"a"
192,10,"足寄","ashoro",20,"0109",43.2433333333333,143.553333333333,90,"a"
193,11,"佐幌岳","sahorogaku",20,"0110",43.175,142.785,900,"a"
194,12,"三角山","sankakuyama",20,"0111",43.1966666666667,142.968333333333,560,"a"
195,13,"本別","honbetsu",20,"0112",43.1316666666667,143.6,67,"a"
196,14,"新得","shintoku",20,"0113",43.0766666666667,142.84,178,"a"
197,15,"鹿追","shikatsui",20,"0114",43.1033333333333,142.995,206,"a"
198,16,"芽室","meshitsu",20,"0115",42.9,143.043333333333,90,"a"
199,17,"帯広","obihiro",20,"47417",42.9216666666667,143.211666666667,38.4,"s"
200,18,"池田","ikeda",20,"0117",42.92,143.458333333333,42,"a"
201,19,"浦幌","urahoro",20,"0118",42.8083333333333,143.656666666667,20,"a"
202,20,"帯広岳","obihirogaku",20,"0119",42.7466666666667,142.933333333333,440,"a"
203,21,"ひょうたん沢","hyoutansawa",20,"0120",42.5966666666667,143.063333333333,380,"a"
204,22,"大樹","taiju",20,"0121",42.5,143.273333333333,87,"a"
205,23,"広尾","hiroo",20,"47440",42.2933333333333,143.316666666667,32.4,"s"
206,24,"三国山","mikuniyama",20,"1099",43.5683333333333,143.14,940,"a"
207,25,"駒場","komaba",20,"1204",43.05,143.183333333333,112,"a"
208,26,"上札内","uesatsunai",20,"1210",42.6416666666667,143.096666666667,251,"a"
209,27,"更別","koubetsu",20,"1211",42.6516666666667,143.195,185,"a"
210,28,"大津","ootsu",20,"1214",42.685,143.646666666667,4,"a"
211,29,"糠内","nukanai",20,"1286",42.7866666666667,143.328333333333,70,"a"
212,30,"小利別","shouribetsu",20,"1404",43.5883333333333,143.68,313,"a"
213,31,"押帯","ouobi",20,"1405",43.115,143.443333333333,104,"a"
214,32,"柏倉","kashiwakura",20,"1409",43.3616666666667,143.458333333333,378,"a"
215,33,"上螺湾","uenejiwan",20,"1410",43.3183333333333,143.801666666667,232,"a"
216,34,"留真","ryuumakoto",20,"1418",42.9166666666667,143.661666666667,40,"a"
217,35,"帯広泉","obihiroizumi",20,"1510",42.7333333333333,143.216666666667,149,"a"
218,36,"三股","sanmata",20,"1571",43.51,143.148333333333,660,"a"
219,1,"安平","antaira",21,"0123",42.8133333333333,141.828333333333,32,"a"
220,2,"厚真","atsushimakoto",21,"0124",42.73,141.888333333333,20,"a"
221,3,"穂別","hobetsu",21,"0125",42.7616666666667,142.143333333333,56,"a"
222,4,"森野","morino",21,"0126",42.63,141.246666666667,170,"a"
223,5,"苫小牧","tomakomai",21,"47424",42.6233333333333,141.546666666667,6.3,"s"
224,6,"大岸","oogishi",21,"0128",42.59,140.643333333333,4,"a"
225,7,"有珠山","usuyama",21,"0129",42.5316666666667,140.853333333333,281,"a"
226,8,"白老","shiraoi",21,"0130",42.5433333333333,141.351666666667,6,"a"
227,9,"鵡川","mukawa",21,"0131",42.59,141.933333333333,10,"a"
228,10,"伊達","date",21,"0132",42.475,140.848333333333,3,"a"
229,11,"登別山","noboribetsuyama",21,"0133",42.5,141.121666666667,579,"a"
230,12,"登別","noboribetsu",21,"0134",42.4583333333333,141.118333333333,197,"a"
231,13,"室蘭","muroran",21,"47423",42.3116666666667,140.975,39.9,"s"
232,14,"大滝","ootaki",21,"1067",42.67,141.078333333333,390,"a"
233,15,"洞爺湖温泉","touyakoonsen",21,"1329",42.565,140.806666666667,85,"a"
234,16,"カルルス","karurusu",21,"1429",42.5166666666667,141.106666666667,300,"a"
235,17,"豊浦","toyoura",21,"1496",42.5833333333333,140.708333333333,5,"a"
236,18,"花和","hanawa",21,"1498",42.6166666666667,140.756666666667,282,"a"
237,19,"虻田","abuta",21,"1499",42.55,140.766666666667,15,"a"
238,20,"壮瞥","soubetsu",21,"1500",42.555,140.853333333333,110,"a"
239,21,"入江","irie",21,"1501",42.5433333333333,140.785,38,"a"
240,22,"月浦","gatsuura",21,"1502",42.5916666666667,140.788333333333,97,"a"
241,23,"北有珠","kitausu",21,"1503",42.5216666666667,140.833333333333,165,"a"
242,24,"洞爺湖畔","touyakoaze",21,"1504",42.5683333333333,140.801666666667,105,"a"
243,1,"日高門別","hidakamonbetsu",22,"0136",42.4966666666667,142.053333333333,47,"a"
244,2,"新和","shinwa",22,"0137",42.5433333333333,142.333333333333,60,"a"
245,3,"ヌモトル山","numotoruyama",22,"0138",42.6,142.395,613,"a"
246,4,"笹山","sasayama",22,"0139",42.4333333333333,142.481666666667,110,"a"
247,5,"静内","shizunai",22,"0140",42.3433333333333,142.361666666667,10,"a"
248,6,"ピセナイ山","pisenaiyama",22,"0141",42.355,142.658333333333,500,"a"
249,7,"浦河","urakawa",22,"47426",42.1616666666667,142.776666666667,36.7,"s"
250,8,"仁世宇","hitoshiyou",22,"1097",42.7716666666667,142.358333333333,150,"a"
251,9,"三石","mitsuishi",22,"1198",42.245,142.661666666667,10,"a"
252,10,"日高","hidaka",22,"1202",42.8766666666667,142.441666666667,280,"a"
253,11,"幌満","horoman",22,"1264",42.0766666666667,143.035,0,"a"
254,12,"目黒","meguro",22,"1276",42.1266666666667,143.313333333333,17,"a"
255,13,"中杵臼","nakakineusu",22,"1288",42.2233333333333,142.948333333333,80,"a"
256,14,"えりも岬","erimomisaki",22,"1340",41.925,143.243333333333,63,"a"
257,15,"旭","asahi",22,"1430",42.6283333333333,142.393333333333,245,"a"
258,16,"平取","tairashu",22,"1594",42.6066666666667,142.146666666667,44,"a"
259,1,"長万部","oshamanbe",23,"0143",42.5233333333333,140.381666666667,10,"a"
260,2,"八雲","yakumo",23,"0144",42.2516666666667,140.271666666667,8,"a"
261,3,"森","mori",23,"0145",42.0666666666667,140.588333333333,125,"a"
262,4,"大沼","oonuma",23,"0146",41.9766666666667,140.715,165,"a"
263,5,"川汲","kawakyuu",23,"0147",41.905,140.97,25,"a"
264,6,"北斗","hokuto",23,"0148",41.8866666666667,140.653333333333,25,"a"
265,7,"函館","hakodate",23,"47430",41.8166666666667,140.753333333333,35,"s"
266,8,"汐首","shiokubi",23,"0150",41.7183333333333,140.945,26,"a"
267,9,"小谷石","kotaniishi",23,"0151",41.5433333333333,140.43,125,"a"
268,10,"松前","matsumae",23,"0152",41.4233333333333,140.086666666667,30,"a"
269,11,"木古内","kikonai",23,"0917",41.6866666666667,140.445,6,"a"
270,12,"千軒","senken",23,"1265",41.5583333333333,140.271666666667,100,"a"
271,13,"蛾眉野","gamayuno",23,"1416",41.7983333333333,140.95,68,"a"
272,14,"高松","takamatsu",23,"1462",41.77,140.821666666667,34,"a"
273,15,"戸井泊","toihaku",23,"1543",41.7166666666667,141.003333333333,20,"a"
274,16,"知内","shiriuchi",23,"1552",41.5983333333333,140.375,24,"a"
275,17,"熊石","kumaishi",23,"0155",42.1283333333333,139.985,12,"a"
276,1,"せたな","setana",24,"0153",42.45,139.851666666667,10,"a"
277,2,"今金","imagane",24,"0154",42.4283333333333,140.008333333333,19,"a"
278,3,"潮見","shiomi",24,"0156",42.0383333333333,140.088333333333,50,"a"
279,4,"江差","esashi",24,"47428",41.8666666666667,140.123333333333,3.7,"s"
280,5,"奥尻","okushiri",24,"1199",42.2483333333333,139.556666666667,5,"a"
281,6,"鶉","uzura",24,"1200",41.93,140.311666666667,53,"a"
282,7,"石崎","ishizaki",24,"1205",41.7,140.028333333333,5,"a"
283,8,"米岡","komeoka",24,"1513",42.0716666666667,139.431666666667,49,"a"
284,1,"障子山","shoujiyama",31,"0158",41.2766666666667,141.096666666667,740,"a"
285,2,"むつ","mutsu",31,"47576",41.2833333333333,141.21,2.9,"s"
286,3,"蟹田","kanita",31,"0160",41.045,140.633333333333,5,"a"
287,4,"青森","aomori",31,"47575",40.8216666666667,140.768333333333,2.8,"s"
288,5,"野辺地","nobechi",31,"0162",40.885,141.16,14,"a"
289,6,"鰺ケ沢","ajikesawa",31,"0163",40.7766666666667,140.205,40,"a"
290,7,"五所川原","goshogawara",31,"0164",40.8083333333333,140.458333333333,9,"a"
291,8,"深浦","fukaura",31,"47574",40.645,139.931666666667,66.1,"s"
292,9,"弘前","hirosaki",31,"0166",40.6116666666667,140.455,30,"a"
293,10,"黒石","kuroishi",31,"0167",40.6666666666667,140.585,30,"a"
294,11,"八甲田山","hakkoudasan",31,"0168",40.675,140.858333333333,1310,"a"
295,12,"三沢","misawa",31,"0169",40.675,141.375,39,"a"
296,13,"四兵衛森","shibeemori",31,"0170",40.5516666666667,140.206666666667,645,"a"
297,14,"毛無山","kemuyama",31,"0171",40.5516666666667,140.753333333333,940,"a"
298,15,"十和田","towada",31,"0172",40.595,141.246666666667,42,"a"
299,16,"八戸","hachinohe",31,"47581",40.5266666666667,141.521666666667,27.1,"s"
300,17,"大鰐","daiwani",31,"0174",40.53,140.555,63,"a"
301,18,"碇ケ関","ikarikekan",31,"0175",40.4816666666667,140.62,135,"a"
302,19,"空岱山","sorataiyama",31,"0176",40.4383333333333,140.708333333333,585,"a"
303,20,"休屋","kyuuya",31,"0177",40.4266666666667,140.898333333333,414,"a"
304,21,"朝日奈岳","asahinagaku",31,"0178",40.325,141.048333333333,710,"a"
305,22,"三戸","sannohe",31,"0179",40.3833333333333,141.256666666667,60,"a"
306,23,"今別","imabetsu",31,"1026",41.18,140.481666666667,30,"a"
307,24,"六ケ所","rokuketokoro",31,"1027",40.885,141.271666666667,80,"a"
308,25,"大間","oohazama",31,"1041",41.5266666666667,140.911666666667,14,"a"
309,26,"大和山","yamatoyama",31,"1042",40.8483333333333,140.985,137,"a"
310,27,"酸ケ湯","sankeyu",31,"1079",40.6483333333333,140.848333333333,890,"a"
311,28,"岳","gaku",31,"1108",40.6283333333333,140.263333333333,438,"a"
312,29,"長慶平","chouyoshitaira",31,"1110",40.6183333333333,139.996666666667,242,"a"
313,30,"市浦","shiura",31,"1119",41.0566666666667,140.346666666667,20,"a"
314,31,"小田野沢","odanozawa",31,"1122",41.235,141.396666666667,6,"a"
315,32,"脇野沢","wakinozawa",31,"1124",41.145,140.821666666667,15,"a"
316,33,"七戸","shichiko",31,"1183",40.7083333333333,141.128333333333,57,"a"
317,34,"戸来","korai",31,"1272",40.4683333333333,141.176666666667,125,"a"
318,35,"温川","onkawa",31,"1406",40.515,140.783333333333,404,"a"
319,36,"青森大谷","aomoriootani",31,"1495",40.7333333333333,140.688333333333,198,"a"
320,37,"湯野川","yunokawa",31,"1559",41.3133333333333,140.956666666667,162,"a"
321,1,"田代岳","tashirogaku",32,"0180",40.4116666666667,140.4,800,"a"
322,2,"陣場","jinba",32,"0181",40.4033333333333,140.608333333333,176,"a"
323,3,"杉沢山","sugisawayama",32,"0182",40.365,140.81,670,"a"
324,4,"能代","noshiro",32,"0183",40.1983333333333,140.031666666667,6,"a"
325,5,"鷹巣","takasu",32,"0184",40.2266666666667,140.371666666667,29,"a"
326,6,"鹿角","kazuno",32,"0185",40.215,140.786666666667,123,"a"
327,7,"湯瀬","yuse",32,"0186",40.12,140.84,214,"a"
328,8,"森吉山","moriyoshiyama",32,"0187",40.005,140.518333333333,800,"a"
329,9,"五城目","goshirome",32,"0188",39.9383333333333,140.115,6,"a"
330,10,"男鹿本山","ogahonzan",32,"0189",39.8916666666667,139.766666666667,440,"a"
331,11,"秋田","akita",32,"47582",39.7166666666667,140.098333333333,6.3,"s"
332,12,"太平山","taiheizan",32,"0191",39.7833333333333,140.25,600,"a"
333,13,"岩見三内","iwakensannai",32,"0192",39.7066666666667,140.286666666667,41,"a"
334,14,"角館","kakunodate",32,"0193",39.6033333333333,140.556666666667,56,"a"
335,15,"田沢湖","tazawako",32,"0194",39.6983333333333,140.731666666667,230,"a"
336,16,"大曲","oomagari",32,"0195",39.49,140.495,30,"a"
337,17,"本荘","honsou",32,"0196",39.36,140.055,11,"a"
338,18,"保呂羽山","horohaneyama",32,"0197",39.3683333333333,140.316666666667,340,"a"
339,19,"横手","yokote",32,"0198",39.32,140.555,59,"a"
340,20,"にかほ","nikaho",32,"0199",39.255,139.913333333333,7,"a"
341,21,"矢島","yajima",32,"0200",39.235,140.136666666667,46,"a"
342,22,"三森山","sanmoriyama",32,"0201",39.2216666666667,140.716666666667,570,"a"
